,human_response
0,neg
1,neg
2,neg
3,neg
4,neg
5,pos
6,pos
7,neu
8,pos
9,pos
10,pos
11,pos
12,pos
13,pos
14,pos
15,pos
16,pos
17,pos
18,pos
19,pos
20,pos
21,pos
22,pos
23,pos
24,pos
25,neg
26,neg
27,neg
28,neg
29,neg
30,pos
31,pos
32,pos
33,neg
34,neg
35,neg
36,neg
37,neg
38,neg
39,neg
40,neg
41,pos
42,pos
43,neg
44,neg
45,neg
46,neg
47,neg
48,neg
49,neu
50,neg
51,neg
52,neg
53,neg
54,neg
55,neg
56,neg
57,neg
58,neu
59,neu
60,neu
61,neu
62,neu
63,neu
64,neu
65,neg
66,neg
67,neg
68,neg
69,neg
70,neg
71,neg
72,neg
73,neg
74,neg
75,neg
76,neg
77,neg
78,neg
79,pos
80,neu
81,pos
82,pos
83,neg
84,neg
85,neg
86,neu
87,neg
88,neg
89,neg
90,neg
91,neg
92,neg
93,neg
94,neg
95,neg
96,neg
97,neg
98,neg
99,neg
100,neg
101,neg
102,neu
103,neg
104,pos
105,pos
106,pos
107,neg
108,neg
109,pos
110,neg
111,neg
112,neg
113,neg
114,neg
115,neg
116,pos
117,pos
118,pos
119,pos
120,pos
121,neg
122,neg
123,neg
124,neg
125,neg
126,neg
127,neg
128,neg
129,neg
130,neg
131,neg
132,neg
133,neu
134,neg
135,neg
136,neg
137,neg
138,neg
139,neg
140,neg
141,neg
142,pos
143,neg
144,neg
145,neg
146,neg
147,neg
148,pos
149,pos
150,neg
151,neg
152,neg
153,neg
154,neg
155,pos
156,neg
157,neg
158,pos
159,pos
160,neg
161,neg
162,neg
163,neg
164,neg
165,neg
166,neg
167,neg
168,neg
169,neg
170,neg
171,neg
172,neg
173,neg
174,neg
175,neg
176,neg
177,neg
178,neg
179,neg
180,neg
181,neg
182,pos
183,pos
184,neg
185,pos
186,pos
187,pos
188,pos
189,neg
190,neg
191,neg
192,neg
193,neg
194,neg
195,neg
196,neg
197,neg
198,neg
199,neg
200,neg
201,neg
202,neg
203,neg
204,neg
205,neg
206,neg
207,neg
208,neg
209,neg
210,neg
211,neg
212,neg
213,neg
214,neg
215,neg
216,neg
217,neg
218,neg
219,neg
220,neg
221,neg
222,neg
223,neg
224,neg
225,neg
226,neg
227,neg
228,neg
229,neg
230,neg
231,neg
232,neg
233,neg
234,neg
235,pos
236,pos
237,neg
238,neg
239,neg
240,neg
241,pos
242,pos
243,pos
244,pos
245,pos
246,pos
247,pos
248,pos
249,pos
